"freq","word_input","word_pred"
889,"me and","my"
889,"you don't","know"
888,"reminds me","of"
886,"you have","any"
886,"that i","have"
885,"to get","out"
883,"is the","most"
882,"was a","great"
882,"when it","comes"
882,"to see","my"
880,"and i","don't"
880,"talk to","me"
879,"take care","of"
878,"feel free","to"
877,"for the","weekend"
876,"to get","it"
872,"to do","a"
871,"to get","back"
870,"i don't","get"
870,"need to","go"
870,"you know","you"
866,"im going","to"
865,"there was","a"
865,"i do","not"
862,"going to","bed"
860,"i know","right"
859,"is about","to"
859,"on the","road"
856,"i think","we"
856,"i wanna","go"
853,"had a","good"
852,"when are","you"
851,"good to","see"
851,"for a","few"
850,"i can","see"
847,"will be","at"
847,"just got","a"
846,"what the","hell"
845,"thanks for","coming"
844,"for a","new"
841,"hope you","had"
840,"check us","out"
839,"working on","a"
838,"don't have","a"
838,"so much","to"
837,"in the","house"
837,"i really","want"
836,"really want","to"
836,"why is","it"
836,"to see","a"
834,"you know","it"
834,"no matter","how"
834,"have to","say"
833,"a fan","of"
830,"just wanted","to"
828,"that is","a"
827,"on the","phone"
826,"to see","if"
826,"best of","luck"
826,"most of","the"
825,"why do","i"
823,"going to","do"
823,"talk to","you"
822,"good luck","to"
822,"to hear","that"
822,"all of","our"
822,"for the","retweet"
822,"if i","could"
821,"thanks to","everyone"
821,"thanks to","for"
821,"up on","the"
821,"that's what","i"
817,"proud of","you"
817,"when you","have"
816,"is like","a"
816,"you get","a"
815,"wait to","get"
815,"we want","to"
814,"would have","been"
814,"if i","was"
814,"if i","had"
812,"it in","the"
812,"last day","of"
812,"and thanks","for"
811,"do you","like"
811,"of the","most"
810,"you can","get"
810,"to find","a"
809,"me if","you"
809,"you're going","to"
809,"it is","the"
809,"but i","am"
808,"all of","my"
808,"just have","to"
807,"and it","was"
805,"such a","great"
805,"a few","days"
804,"get ready","for"
804,"for all","of"
804,"to catch","up"
803,"nice to","meet"
803,"to get","in"
803,"i am","in"
802,"thank you","i"
802,"for the","support"
801,"will be","there"
799,"you know","i"
799,"who you","are"
798,"will be","on"
798,"what are","your"
797,"me in","the"
796,"to get","some"
795,"first day","of"
795,"to work","on"
793,"in your","life"
792,"time for","a"
791,"i just","wanna"
