"word","freq"
"goin",2569
"positive",2567
"workout",2566
"4th",2565
"dumb",2564
"drinks",2564
"commercial",2557
"education",2557
"fake",2556
"calls",2553
"happening",2551
"annoying",2550
"level",2546
"apple",2546
"ugly",2545
"wondering",2543
"relationship",2537
"soul",2528
"brand",2526
"price",2524
"five",2523
"worked",2522
"offer",2520
"code",2519
"talent",2512
"note",2506
"deep",2503
"yall",2501
"completely",2495
"ways",2494
"aww",2492
"turned",2490
"complete",2487
"speaking",2486
"fear",2485
"greatest",2484
"mouth",2480
"nap",2474
"hall",2474
"e",2469
"color",2467
"traffic",2457
"sell",2457
"soo",2456
"asleep",2449
"brain",2448
"conversation",2444
"press",2440
"classes",2439
"paid",2439
"michael",2434
"draft",2426
"table",2422
"hanging",2421
"died",2420
"flight",2418
"choose",2417
"winner",2417
"notice",2417
"lmfao",2411
"ipad",2409
"hotel",2407
"secret",2397
"anybody",2396
"joe",2393
"born",2387
"information",2387
"version",2386
"boring",2386
"milwaukee",2385
"realized",2383
"terrible",2379
"blessed",2376
"except",2376
"points",2373
"pants",2368
"career",2364
"yup",2363
"taste",2362
"pleasure",2359
"steve",2352
"how's",2349
"keeps",2348
"report",2344
"crew",2341
"shouldn't",2338
"floor",2333
"fly",2329
"review",2323
"diego",2322
"alive",2319
"imagine",2318
"homework",2314
"bag",2311
"showing",2307
"lakers",2306
"build",2305
"reply",2304
"search",2303
"fix",2298
"healthy",2296
"begin",2295
"daughter",2292
"indeed",2292
"keeping",2292
"score",2292
"loud",2291
"opportunity",2290
"contest",2290
"winter",2289
"lately",2285
"houston",2284
"ima",2283
"doubt",2282
"literally",2281
"stories",2275
"killed",2273
"dj",2273
"blast",2270
"sleeping",2269
"caught",2267
"min",2267
"nba",2265
"huh",2262
"g",2261
"nights",2260
"fam",2259
"j",2258
"checking",2256
"war",2254
"scared",2247
"bday",2239
"sold",2235
"loss",2232
"bike",2231
"breaking",2229
"wall",2229
"return",2227
"pop",2218
"direction",2217
"travel",2215
"given",2214
"tweeted",2213
"festival",2213
"currently",2212
"reach",2206
"yr",2206
"mood",2205
"deserve",2204
"mix",2198
"shower",2198
"profile",2196
"uh",2196
"league",2195
"station",2195
"smell",2193
"closed",2192
"nfl",2192
"promise",2186
"dallas",2184
"reality",2182
"happiness",2181
"killing",2179
"tune",2172
"clear",2169
"wont",2168
"staff",2164
"based",2162
"wild",2162
"bunch",2162
"schedule",2160
"nope",2159
"simple",2152
"process",2148
"feet",2147
"decided",2146
"fit",2144
"freaking",2144
"brought",2143
"trouble",2141
"signed",2140
"finding",2139
"quality",2137
"sending",2136
"updates",2135
"luv",2134
"vacation",2134
"members",2131
"broken",2131
"dancing",2130
"present",2127
"teach",2127
"creative",2126
"dogs",2122
"treat",2121
"kiss",2121
"places",2117
"finals",2112
"fish",2106
"niggas",2105
"incredible",2098
"bc",2095
"def",2092
"per",2090
"bless",2089
"english",2086
"earlier",2080
"wishing",2077
"somewhere",2076
"denver",2076
"beyond",2074
"feed",2073
"moms",2073
"handle",2071
"spread",2069
"hurts",2063
"bye",2060
"tips",2060
"crying",2059
"credit",2054
"ate",2050
"tom",2049
"police",2049
"magic",2048
"value",2048
"award",2046
"jersey",2040
"address",2039
"channel",2037
"shots",2037
"shooting",2036
"screen",2028
"thanksgiving",2027
"restaurant",2027
"presentation",2026
"fail",2023
"passed",2022
"afraid",2020
"surprised",2018
"beauty",2016
"george",2015
"challenge",2015
"miles",2015
"services",2013
"here's",2011
"cheers",2009
"boss",2008
"honestly",2007
"within",2005
"shall",2005
"successful",2005
"spending",2004
"view",2004
"clothes",2004
"ryan",2001
"pull",2001
"sales",1994
"kidding",1993
"copy",1992
"artists",1988
"cats",1986
"easier",1983
"fashion",1979
"uk",1979
"rich",1977
"suggestions",1973
"matt",1973
"museum",1971
"jazz",1969
"latest",1969
"v",1969
"block",1965
"county",1964
"blood",1964
"dat",1961
"named",1960
"gold",1960
"cards",1957
"dirty",1955
"match",1954
"alot",1954
"customer",1949
"twice",1946
"washington",1944
"access",1942
"booth",1942
"cd",1940
"stars",1940
"buying",1940
"marriage",1939
"bieber",1931
"gettin",1931
"gas",1931
"teaching",1928
"product",1927
"smoke",1926
"trade",1925
"judge",1924
"horrible",1921
"knowing",1920
"results",1918
"playoffs",1914
"model",1911
"connect",1910
"themselves",1909
"faith",1905
"including",1905
"mess",1905
"ran",1902
"everywhere",1900
"classic",1899
"title",1897
"crowd",1897
"bay",1896
"pool",1894
"honor",1893
"it'll",1889
"staying",1888
"trending",1888
"plz",1887
"glass",1882
"pack",1881
"technology",1876
"beginning",1871
"picked",1868
"babe",1867
"panel",1866
"court",1865
"awake",1860
"fell",1860
"changes",1859
"continue",1856
"tax",1856
